recency_months,frequency,monetary_cc,time_months,donated_again,email_open_rate,events_attended,sms_opt_in,last_campaign_days,newsletter_segment
2.0,50.0,12500.0,98.0,1,1.0,1,1,104.0,Platinum
0.0,13.0,3250.0,28.0,1,0.5477288035342189,1,1,51.0,Platinum
1.0,16.0,4000.0,35.0,1,0.6542496715088122,3,0,26.0,Platinum
2.0,20.0,5000.0,45.0,1,0.48965866107959205,1,1,144.0,Platinum
1.0,24.0,6000.0,77.0,0,0.6723650304824198,1,1,155.0,Platinum
4.0,4.0,1000.0,4.0,0,0.27416453143803887,0,1,46.0,Silver
2.0,7.0,1750.0,14.0,1,0.28812058053498035,0,1,56.0,Gold
1.0,12.0,3000.0,35.0,0,0.38462256425365626,1,1,168.0,Platinum
2.0,9.0,2250.0,22.0,1,0.366936350595621,1,1,121.0,Platinum
5.0,46.0,11500.0,98.0,1,0.9906167708066373,2,1,69.0,Platinum
4.0,23.0,5750.0,58.0,0,0.5881733376805348,0,0,29.0,Platinum
0.0,3.0,750.0,4.0,0,0.22033810897391576,1,0,130.0,Silver
2.0,10.0,2500.0,28.0,1,0.25838883865203643,0,0,151.0,Platinum
1.0,13.0,3250.0,47.0,0,0.5658649249032947,0,0,41.0,Platinum
2.0,6.0,1500.0,15.0,1,0.45747360851715124,0,0,138.0,Gold
2.0,5.0,1250.0,11.0,1,0.4182626610689476,0,1,26.0,Gold
2.0,14.0,3500.0,48.0,1,0.7323445915917431,0,1,143.0,Platinum
2.0,15.0,3750.0,49.0,1,0.5380009200612399,0,0,34.0,Platinum
2.0,6.0,1500.0,15.0,1,0.4383473019210511,0,0,83.0,Gold
2.0,3.0,750.0,4.0,1,0.4438968137109263,0,0,152.0,Silver
2.0,3.0,750.0,4.0,1,0.30125654808871083,1,1,109.0,Silver
4.0,11.0,2750.0,28.0,0,0.5042087063436531,1,0,157.0,Platinum
2.0,6.0,1500.0,16.0,1,0.33716199713727896,1,1,148.0,Gold
2.0,6.0,1500.0,16.0,1,0.27687828327866343,1,1,34.0,Gold
